date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:51:17	707/707	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2030%20Jan%202024%2015:51:16%20GMT	https://www.Mofritech.co.ke/portfolio/case-studies	C:/Users/James/Downloads/Mofritech/www.Mofritech.co.ke/portfolio/case-studies	(from https://www.Mofritech.co.ke/)
18:51:17	40024/40024	---M-Z	200	added ('OK')	text/html	date:Tue,%2030%20Jan%202024%2015:51:17%20GMT	https://www.Mofritech.co.ke/portfolio/case-studies/	C:/Users/James/Downloads/Mofritech/www.Mofritech.co.ke/portfolio/case-studies/index.html	(from https://www.Mofritech.co.ke/)
18:51:17	707/707	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2030%20Jan%202024%2015:51:17%20GMT	https://www.Mofritech.co.ke/portfolio/clients	C:/Users/James/Downloads/Mofritech/www.Mofritech.co.ke/portfolio/clients	(from https://www.Mofritech.co.ke/)
18:51:18	34810/34810	---M-Z	200	added ('OK')	text/html	date:Tue,%2030%20Jan%202024%2015:51:17%20GMT	https://www.Mofritech.co.ke/portfolio/clients/	C:/Users/James/Downloads/Mofritech/www.Mofritech.co.ke/portfolio/clients/index.html	(from https://www.Mofritech.co.ke/)
18:51:18	707/707	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2030%20Jan%202024%2015:51:17%20GMT	https://www.Mofritech.co.ke/media	C:/Users/James/Downloads/Mofritech/www.Mofritech.co.ke/media	(from https://www.Mofritech.co.ke/)
18:51:18	39395/39395	---M-Z	200	added ('OK')	text/html	date:Tue,%2030%20Jan%202024%2015:51:18%20GMT	https://www.Mofritech.co.ke/media/	C:/Users/James/Downloads/Mofritech/www.Mofritech.co.ke/media/index.html	(from https://www.Mofritech.co.ke/)
18:51:19	707/707	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2030%20Jan%202024%2015:51:18%20GMT	https://www.Mofritech.co.ke/media/blog	C:/Users/James/Downloads/Mofritech/www.Mofritech.co.ke/media/blog	(from https://www.Mofritech.co.ke/)
18:51:19	39668/39668	---M-Z	200	added ('OK')	text/html	date:Tue,%2030%20Jan%202024%2015:51:18%20GMT	https://www.Mofritech.co.ke/media/blog/	C:/Users/James/Downloads/Mofritech/www.Mofritech.co.ke/media/blog/index.html	(from https://www.Mofritech.co.ke/)
18:51:19	707/707	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2030%20Jan%202024%2015:51:18%20GMT	https://www.Mofritech.co.ke/media/videos	C:/Users/James/Downloads/Mofritech/www.Mofritech.co.ke/media/videos	(from https://www.Mofritech.co.ke/)
18:51:19	36821/36821	---M-Z	200	added ('OK')	text/html	date:Tue,%2030%20Jan%202024%2015:51:19%20GMT	https://www.Mofritech.co.ke/media/videos/	C:/Users/James/Downloads/Mofritech/www.Mofritech.co.ke/media/videos/index.html	(from https://www.Mofritech.co.ke/)
18:51:20	707/707	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2030%20Jan%202024%2015:51:19%20GMT	https://www.Mofritech.co.ke/contact-us	C:/Users/James/Downloads/Mofritech/www.Mofritech.co.ke/contact-us	(from https://www.Mofritech.co.ke/)
18:51:20	5077/5077	---M--	200	added ('OK')	image/png	date:Wed,%2004%20Jan%202023%2006:18:50%20GMT	https://www.Mofritech.co.ke/assets/img/logos/logo.png	C:/Users/James/Downloads/Mofritech/www.Mofritech.co.ke/assets/img/logos/logo.png	(from https://www.Mofritech.co.ke/)
18:51:20	5077/5077	---M--	200	added ('OK')	image/png	date:Wed,%2004%20Jan%202023%2006:18:50%20GMT	https://www.Mofritech.co.ke/assets/img/logos/logo_sm.png	C:/Users/James/Downloads/Mofritech/www.Mofritech.co.ke/assets/img/logos/logo_sm.png	(from https://www.Mofritech.co.ke/)
18:51:20	49366/49366	---M-Z	200	added ('OK')	text/html	date:Tue,%2030%20Jan%202024%2015:51:19%20GMT	https://www.Mofritech.co.ke/contact-us/	C:/Users/James/Downloads/Mofritech/www.Mofritech.co.ke/contact-us/index.html	(from https://www.Mofritech.co.ke/)
18:51:21	1773/1773	---M--	200	added ('OK')	image/png	date:Tue,%2030%20Jan%202024%2015:51:20%20GMT	https://www.Mofritech.co.ke/config/email_png.php?object=Settings&action=email_png&email=info@Mofritech.co.ke&location=top	C:/Users/James/Downloads/Mofritech/www.Mofritech.co.ke/config/email_png4260.png	(from https://www.Mofritech.co.ke/)
18:51:21	707/707	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2030%20Jan%202024%2015:51:21%20GMT	https://www.Mofritech.co.ke/Mofritech-it-services	C:/Users/James/Downloads/Mofritech/www.Mofritech.co.ke/Mofritech-it-services	(from https://www.Mofritech.co.ke/)
18:51:23	71882/71882	---M-Z	200	added ('OK')	text/html	date:Tue,%2030%20Jan%202024%2015:51:21%20GMT	https://www.Mofritech.co.ke/Mofritech-it-services/	C:/Users/James/Downloads/Mofritech/www.Mofritech.co.ke/Mofritech-it-services/index.html	(from https://www.Mofritech.co.ke/)
18:51:23	205017/205017	---M--	200	added ('OK')	image/jpeg	date:Tue,%2027%20Jun%202023%2015:18:44%20GMT	https://www.Mofritech.co.ke/uploads/img/slides/Mofritech-it-services.jpg	C:/Users/James/Downloads/Mofritech/www.Mofritech.co.ke/uploads/img/slides/Mofritech-it-services.jpg	(from https://www.Mofritech.co.ke/)
18:51:25	49430/49430	---M-Z	200	added ('OK')	text/html	date:Tue,%2030%20Jan%202024%2015:51:22%20GMT	https://www.Mofritech.co.ke/contact-us/?subject=Web%20Design%20&%20Development&request=get_a_quote	C:/Users/James/Downloads/Mofritech/www.Mofritech.co.ke/contact-us/indexe7dd.html	(from https://www.Mofritech.co.ke/)
18:51:26	49459/49459	---M-Z	200	added ('OK')	text/html	date:Tue,%2030%20Jan%202024%2015:51:25%20GMT	https://www.Mofritech.co.ke/contact-us/?subject=Church%20Management%20Software&request=request_a_demo	C:/Users/James/Downloads/Mofritech/www.Mofritech.co.ke/contact-us/index2ef8.html	(from https://www.Mofritech.co.ke/)
18:51:26	195654/195654	---M--	200	added ('OK')	image/jpeg	date:Tue,%2027%20Jun%202023%2015:11:03%20GMT	https://www.Mofritech.co.ke/uploads/img/slides/church-management-software.jpg	C:/Users/James/Downloads/Mofritech/www.Mofritech.co.ke/uploads/img/slides/church-management-software.jpg	(from https://www.Mofritech.co.ke/)
18:51:26	18060/18060	---M--	200	added ('OK')	image/webp	date:Thu,%2015%20Jun%202023%2014:49:54%20GMT	https://www.Mofritech.co.ke/uploads/img/pages/thumbnails/ngo-web-design.webp	C:/Users/James/Downloads/Mofritech/www.Mofritech.co.ke/uploads/img/pages/thumbnails/ngo-web-design.webp	(from https://www.Mofritech.co.ke/)
18:51:26	230186/230186	---M--	200	added ('OK')	image/jpeg	date:Thu,%2022%20Jun%202023%2014:42:49%20GMT	https://www.Mofritech.co.ke/uploads/img/slides/parcel-delivery-software.jpg	C:/Users/James/Downloads/Mofritech/www.Mofritech.co.ke/uploads/img/slides/parcel-delivery-software.jpg	(from https://www.Mofritech.co.ke/)
18:51:26	707/707	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2030%20Jan%202024%2015:51:26%20GMT	https://www.Mofritech.co.ke/web-design-development/ngo-web-design	C:/Users/James/Downloads/Mofritech/www.Mofritech.co.ke/web-design-development/ngo-web-design	(from https://www.Mofritech.co.ke/)
18:51:26	43922/43922	---M-Z	200	added ('OK')	text/html	date:Tue,%2030%20Jan%202024%2015:51:26%20GMT	https://www.Mofritech.co.ke/web-design-development/ngo-web-design/	C:/Users/James/Downloads/Mofritech/www.Mofritech.co.ke/web-design-development/ngo-web-design/index.html	(from https://www.Mofritech.co.ke/)
18:51:26	29484/29484	---M--	200	added ('OK')	image/webp	date:Thu,%2022%20Jun%202023%2007:19:10%20GMT	https://www.Mofritech.co.ke/uploads/img/pages/thumbnails/real-estate-web-design.webp	C:/Users/James/Downloads/Mofritech/www.Mofritech.co.ke/uploads/img/pages/thumbnails/real-estate-web-design.webp	(from https://www.Mofritech.co.ke/)
18:51:27	49455/49455	---M-Z	200	added ('OK')	text/html	date:Tue,%2030%20Jan%202024%2015:51:25%20GMT	https://www.Mofritech.co.ke/contact-us/?subject=Parcel%20Delivery%20Software&request=request_a_demo	C:/Users/James/Downloads/Mofritech/www.Mofritech.co.ke/contact-us/index6138.html	(from https://www.Mofritech.co.ke/)
18:51:28	49446/49446	---M-Z	200	added ('OK')	text/html	date:Tue,%2030%20Jan%202024%2015:51:26%20GMT	https://www.Mofritech.co.ke/contact-us/?subject=NGO%20Websites%20Design&request=get_a_quote	C:/Users/James/Downloads/Mofritech/www.Mofritech.co.ke/contact-us/index931d.html	(from https://www.Mofritech.co.ke/)
18:51:28	707/707	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2030%20Jan%202024%2015:51:27%20GMT	https://www.Mofritech.co.ke/web-design-development/real-estate-web-design	C:/Users/James/Downloads/Mofritech/www.Mofritech.co.ke/web-design-development/real-estate-web-design	(from https://www.Mofritech.co.ke/)
18:51:28	44437/44437	---M-Z	200	added ('OK')	text/html	date:Tue,%2030%20Jan%202024%2015:51:28%20GMT	https://www.Mofritech.co.ke/web-design-development/real-estate-web-design/	C:/Users/James/Downloads/Mofritech/www.Mofritech.co.ke/web-design-development/real-estate-web-design/index.html	(from https://www.Mofritech.co.ke/)
18:51:28	17506/17506	---M--	200	added ('OK')	image/webp	date:Wed,%2014%20Jun%202023%2012:14:45%20GMT	https://www.Mofritech.co.ke/uploads/img/pages/thumbnails/ecommerce-website-development.webp	C:/Users/James/Downloads/Mofritech/www.Mofritech.co.ke/uploads/img/pages/thumbnails/ecommerce-website-development.webp	(from https://www.Mofritech.co.ke/)
18:51:29	49460/49460	---M-Z	200	added ('OK')	text/html	date:Tue,%2030%20Jan%202024%2015:51:28%20GMT	https://www.Mofritech.co.ke/contact-us/?subject=Real%20Estate%20Website%20Design&request=get_a_quote	C:/Users/James/Downloads/Mofritech/www.Mofritech.co.ke/contact-us/indexc2ab.html	(from https://www.Mofritech.co.ke/)
18:51:29	707/707	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2030%20Jan%202024%2015:51:29%20GMT	https://www.Mofritech.co.ke/web-design-development/ecommerce-web-development	C:/Users/James/Downloads/Mofritech/www.Mofritech.co.ke/web-design-development/ecommerce-web-development.2c.delayed	(from https://www.Mofritech.co.ke/)
18:51:30	19112/19112	---M--	200	added ('OK')	image/webp	date:Thu,%2015%20Jun%202023%2014:46:03%20GMT	https://www.Mofritech.co.ke/uploads/img/pages/thumbnails/corporate-web-design.webp	C:/Users/James/Downloads/Mofritech/www.Mofritech.co.ke/uploads/img/pages/thumbnails/corporate-web-design.webp	(from https://www.Mofritech.co.ke/)
18:51:30	49466/49466	---M-Z	200	added ('OK')	text/html	date:Tue,%2030%20Jan%202024%2015:51:29%20GMT	https://www.Mofritech.co.ke/contact-us/?subject=Ecommerce%20Website%20Development&request=get_a_quote	C:/Users/James/Downloads/Mofritech/www.Mofritech.co.ke/contact-us/index05ac.html	(from https://www.Mofritech.co.ke/)
18:51:30	707/707	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2030%20Jan%202024%2015:51:29%20GMT	https://www.Mofritech.co.ke/web-design-development/corporate-web-design	C:/Users/James/Downloads/Mofritech/www.Mofritech.co.ke/web-design-development/corporate-web-design	(from https://www.Mofritech.co.ke/)
18:51:30	14232/14232	---M--	200	added ('OK')	image/webp	date:Thu,%2015%20Jun%202023%2014:43:22%20GMT	https://www.Mofritech.co.ke/uploads/img/pages/thumbnails/personal-profiles.webp	C:/Users/James/Downloads/Mofritech/www.Mofritech.co.ke/uploads/img/pages/thumbnails/personal-profiles.webp	(from https://www.Mofritech.co.ke/)
18:51:33	44036/44036	---M-Z	200	added ('OK')	text/html	date:Tue,%2030%20Jan%202024%2015:51:30%20GMT	https://www.Mofritech.co.ke/web-design-development/corporate-web-design/	C:/Users/James/Downloads/Mofritech/www.Mofritech.co.ke/web-design-development/corporate-web-design/index.html	(from https://www.Mofritech.co.ke/)
18:51:33	49444/49444	---M-Z	200	added ('OK')	text/html	date:Tue,%2030%20Jan%202024%2015:51:31%20GMT	https://www.Mofritech.co.ke/contact-us/?subject=Corporate%20Websites&request=get_a_quote	C:/Users/James/Downloads/Mofritech/www.Mofritech.co.ke/contact-us/index7e92.html	(from https://www.Mofritech.co.ke/)
18:51:33	707/707	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2030%20Jan%202024%2015:51:30%20GMT	https://www.Mofritech.co.ke/web-design-development/personal-profiles	C:/Users/James/Downloads/Mofritech/www.Mofritech.co.ke/web-design-development/personal-profiles	(from https://www.Mofritech.co.ke/)
18:51:33	44090/44090	---M-Z	200	added ('OK')	text/html	date:Tue,%2030%20Jan%202024%2015:51:29%20GMT	https://www.Mofritech.co.ke/web-design-development/ecommerce-web-development/	C:/Users/James/Downloads/Mofritech/www.Mofritech.co.ke/web-design-development/ecommerce-web-development/index.html	(from https://www.Mofritech.co.ke/)
18:51:33	44280/44280	---M-Z	200	added ('OK')	text/html	date:Tue,%2030%20Jan%202024%2015:51:33%20GMT	https://www.Mofritech.co.ke/web-design-development/personal-profiles/	C:/Users/James/Downloads/Mofritech/www.Mofritech.co.ke/web-design-development/personal-profiles/index.html	(from https://www.Mofritech.co.ke/)
18:51:33	25132/25132	---M--	200	added ('OK')	image/webp	date:Thu,%2015%20Jun%202023%2014:49:01%20GMT	https://www.Mofritech.co.ke/uploads/img/pages/thumbnails/tours-travel-web-design.webp	C:/Users/James/Downloads/Mofritech/www.Mofritech.co.ke/uploads/img/pages/thumbnails/tours-travel-web-design.webp	(from https://www.Mofritech.co.ke/)
18:51:34	707/707	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2030%20Jan%202024%2015:51:33%20GMT	https://www.Mofritech.co.ke/web-design-development/tours-travel-web-design	C:/Users/James/Downloads/Mofritech/www.Mofritech.co.ke/web-design-development/tours-travel-web-design	(from https://www.Mofritech.co.ke/)
18:51:34	49442/49442	---M-Z	200	added ('OK')	text/html	date:Tue,%2030%20Jan%202024%2015:51:33%20GMT	https://www.Mofritech.co.ke/contact-us/?subject=Personal%20Profiles&request=get_a_quote	C:/Users/James/Downloads/Mofritech/www.Mofritech.co.ke/contact-us/indexce13.html	(from https://www.Mofritech.co.ke/)
18:51:34	49420/49420	---M-Z	200	added ('OK')	text/html	date:Tue,%2030%20Jan%202024%2015:51:34%20GMT	https://www.Mofritech.co.ke/contact-us/?subject=Tours%20&%20Travel%20Website%20Design&request=get_a_quote	C:/Users/James/Downloads/Mofritech/www.Mofritech.co.ke/contact-us/indexc6e1.html	(from https://www.Mofritech.co.ke/)
18:51:34	3179/3179	---M--	200	added ('OK')	image/png	date:Thu,%2009%20Mar%202023%2015:20:20%20GMT	https://www.Mofritech.co.ke/uploads/img/pages/icons/all-round-expertise.png	C:/Users/James/Downloads/Mofritech/www.Mofritech.co.ke/uploads/img/pages/icons/all-round-expertise.png	(from https://www.Mofritech.co.ke/)
18:51:34	44231/44231	---M-Z	200	added ('OK')	text/html	date:Tue,%2030%20Jan%202024%2015:51:33%20GMT	https://www.Mofritech.co.ke/web-design-development/tours-travel-web-design/	C:/Users/James/Downloads/Mofritech/www.Mofritech.co.ke/web-design-development/tours-travel-web-design/index.html	(from https://www.Mofritech.co.ke/)
18:51:34	2488/2488	---M--	200	added ('OK')	image/png	date:Thu,%2009%20Mar%202023%2015:18:52%20GMT	https://www.Mofritech.co.ke/uploads/img/pages/icons/functional-websites.png	C:/Users/James/Downloads/Mofritech/www.Mofritech.co.ke/uploads/img/pages/icons/functional-websites.png	(from https://www.Mofritech.co.ke/)
18:51:35	2218/2218	---M--	200	added ('OK')	image/png	date:Thu,%2009%20Mar%202023%2015:19:54%20GMT	https://www.Mofritech.co.ke/uploads/img/pages/icons/extensible.png	C:/Users/James/Downloads/Mofritech/www.Mofritech.co.ke/uploads/img/pages/icons/extensible.png	(from https://www.Mofritech.co.ke/)
18:51:35	707/707	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2030%20Jan%202024%2015:51:35%20GMT	https://www.Mofritech.co.ke/portfolio/case-studies/nesta-united-transporters-crm	C:/Users/James/Downloads/Mofritech/www.Mofritech.co.ke/portfolio/case-studies/nesta-united-transporters-crm	(from https://www.Mofritech.co.ke/)
18:51:35	707/707	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2030%20Jan%202024%2015:51:35%20GMT	https://www.Mofritech.co.ke/portfolio/case-studies/bushblazers-website-crm	C:/Users/James/Downloads/Mofritech/www.Mofritech.co.ke/portfolio/case-studies/bushblazers-website-crm	(from https://www.Mofritech.co.ke/)
18:51:36	40442/40442	---M-Z	200	added ('OK')	text/html	date:Tue,%2030%20Jan%202024%2015:51:35%20GMT	https://www.Mofritech.co.ke/portfolio/case-studies/nesta-united-transporters-crm/	C:/Users/James/Downloads/Mofritech/www.Mofritech.co.ke/portfolio/case-studies/nesta-united-transporters-crm/index.html	(from https://www.Mofritech.co.ke/)
18:51:36	707/707	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2030%20Jan%202024%2015:51:35%20GMT	https://www.Mofritech.co.ke/portfolio/case-studies/karunguru-coffee-website-crm	C:/Users/James/Downloads/Mofritech/www.Mofritech.co.ke/portfolio/case-studies/karunguru-coffee-website-crm	(from https://www.Mofritech.co.ke/)
18:51:38	38948/38948	---M-Z	200	added ('OK')	text/html	date:Tue,%2030%20Jan%202024%2015:51:35%20GMT	https://www.Mofritech.co.ke/portfolio/case-studies/bushblazers-website-crm/	C:/Users/James/Downloads/Mofritech/www.Mofritech.co.ke/portfolio/case-studies/bushblazers-website-crm/index.html	(from https://www.Mofritech.co.ke/)
18:51:38	39286/39286	---M-Z	200	added ('OK')	text/html	date:Tue,%2030%20Jan%202024%2015:51:36%20GMT	https://www.Mofritech.co.ke/portfolio/case-studies/karunguru-coffee-website-crm/	C:/Users/James/Downloads/Mofritech/www.Mofritech.co.ke/portfolio/case-studies/karunguru-coffee-website-crm/index.html	(from https://www.Mofritech.co.ke/)
18:51:38	2603/2603	---M--	200	added ('OK')	image/png	date:Fri,%2009%20Jun%202023%2008:27:28%20GMT	https://www.Mofritech.co.ke/uploads/img/contacts/5d0e265e33fe1dc4e28472ea5ca527fd.png	C:/Users/James/Downloads/Mofritech/www.Mofritech.co.ke/uploads/img/contacts/5d0e265e33fe1dc4e28472ea5ca527fd.png	(from https://www.Mofritech.co.ke/)
18:51:39	18124/18124	---M--	200	added ('OK')	image/webp	date:Tue,%2020%20Jun%202023%2015:07:40%20GMT	https://www.Mofritech.co.ke/uploads/img/pages/thumbnails/web-design-development.webp	C:/Users/James/Downloads/Mofritech/www.Mofritech.co.ke/uploads/img/pages/thumbnails/web-design-development.webp	(from https://www.Mofritech.co.ke/)
18:51:39	19866/19866	---M--	200	added ('OK')	image/webp	date:Thu,%2029%20Jun%202023%2015:10:15%20GMT	https://www.Mofritech.co.ke/uploads/img/pages/thumbnails/church-management-software.webp	C:/Users/James/Downloads/Mofritech/www.Mofritech.co.ke/uploads/img/pages/thumbnails/church-management-software.webp	(from https://www.Mofritech.co.ke/)
18:51:39	12160/12160	---M--	200	added ('OK')	image/webp	date:Tue,%2020%20Jun%202023%2014:28:46%20GMT	https://www.Mofritech.co.ke/uploads/img/pages/thumbnails/seo-search-engine-optimization.webp	C:/Users/James/Downloads/Mofritech/www.Mofritech.co.ke/uploads/img/pages/thumbnails/seo-search-engine-optimization.webp	(from https://www.Mofritech.co.ke/)
18:51:40	4049/4049	---M--	200	added ('OK')	image/png	date:Wed,%2004%20Jan%202023%2012:52:46%20GMT	https://www.Mofritech.co.ke/uploads/img/portfolio/nesta-transporters.png	C:/Users/James/Downloads/Mofritech/www.Mofritech.co.ke/uploads/img/portfolio/nesta-transporters.png	(from https://www.Mofritech.co.ke/)
18:51:40	5705/5705	---M--	200	added ('OK')	image/png	date:Wed,%2004%20Jan%202023%2012:53:28%20GMT	https://www.Mofritech.co.ke/uploads/img/portfolio/jpees-ventures.png	C:/Users/James/Downloads/Mofritech/www.Mofritech.co.ke/uploads/img/portfolio/jpees-ventures.png	(from https://www.Mofritech.co.ke/)
